Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Отображение данных,Chrome 119.0.0.0,,,2023-11-21 05:34:19,2023-11-21 08:55:56,"3h - 21m - 37,762s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана отображение данных все филиалы,Chrome 119.0.0.0,,,2023-11-21 05:34:19,2023-11-21 07:03:06,"1h - 28m - 46,654s",FAILED
date = new java.util.Date(),Chrome 119.0.0.0,,,2023-11-21 05:34:20,2023-11-21 05:34:20,"0,002s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 119.0.0.0,,,2023-11-21 05:34:20,2023-11-21 05:34:20,"0,013s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-21 05:34:20,2023-11-21 05:34:20,"0,000s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-21 05:34:20,2023-11-21 05:34:23,"2,856s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 119.0.0.0,,,2023-11-21 05:34:23,2023-11-21 05:34:26,"3,589s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 119.0.0.0,,,2023-11-21 05:34:26,2023-11-21 05:34:28,"1,817s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 119.0.0.0,,,2023-11-21 05:34:28,2023-11-21 05:34:29,"0,762s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 119.0.0.0,,,2023-11-21 05:34:29,2023-11-21 05:34:30,"1,318s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-11-21 05:34:30,2023-11-21 05:35:00,"30,042s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 119.0.0.0,!,,2023-11-21 05:35:00,2023-11-21 05:35:00,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-11-21 05:35:00,2023-11-21 05:35:24,"24,248s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-11-21 05:35:24,2023-11-21 05:35:24,"0,003s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-11-21 05:35:24,2023-11-21 05:35:24,"0,000s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 119.0.0.0,"Раскрыть фильтр ""Дата""",,2023-11-21 05:35:24,2023-11-21 05:35:25,"0,438s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-11-21 05:35:25,2023-11-21 05:35:25,"0,478s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-11-21 05:35:25,2023-11-21 05:35:26,"0,930s",PASSED
delay(10),Chrome 119.0.0.0,,,2023-11-21 05:35:26,2023-11-21 05:35:36,"10,019s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-11-21 05:35:36,2023-11-21 05:35:36,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-11-21 05:35:36,2023-11-21 05:35:59,"22,276s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-11-21 05:35:59,2023-11-21 05:35:59,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-11-21 05:35:59,2023-11-21 05:35:59,"0,411s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 119.0.0.0,"Раскрыть фильтр ""Дата""",,2023-11-21 05:35:59,2023-11-21 05:35:59,"0,393s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-11-21 05:35:59,2023-11-21 05:36:00,"0,491s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2023 список""), 30)",Chrome 119.0.0.0,,,2023-11-21 05:36:00,2023-11-21 05:36:00,"0,458s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2023 список""))",Chrome 119.0.0.0,Выбрать 1 квартал 2022,,2023-11-21 05:36:00,2023-11-21 05:36:01,"0,365s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""), 30)",Chrome 119.0.0.0,,,2023-11-21 05:36:01,2023-11-21 05:36:01,"0,465s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""))",Chrome 119.0.0.0,,,2023-11-21 05:36:01,2023-11-21 05:36:02,"0,367s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2 квартал 2023""))",Chrome 119.0.0.0,,,2023-11-21 05:36:02,2023-11-21 05:36:02,"0,483s",PASSED
