Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка дашбордов из разных блоков,Chrome 119.0.0.0,,,2023-12-01 10:26:31,2023-12-01 10:51:48,"25m - 17,283s",PASSED
,,,,,,,
Test Cases/Сверки дашбордов/Выполнение бизнес-плана сверка дашбордов,Chrome 119.0.0.0,,,2023-12-01 10:26:31,2023-12-01 10:34:40,"8m - 8,980s",PASSED
date = new java.util.Date(),Chrome 119.0.0.0,,,2023-12-01 10:26:32,2023-12-01 10:26:32,"0,013s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 119.0.0.0,,,2023-12-01 10:26:32,2023-12-01 10:26:32,"0,001s",PASSED
println(todaysDate),Chrome 119.0.0.0,,,2023-12-01 10:26:32,2023-12-01 10:26:32,"0,007s",PASSED
widget = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-01 10:26:32,2023-12-01 10:26:32,"0,000s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-01 10:26:32,2023-12-01 10:26:34,"2,274s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 119.0.0.0,,,2023-12-01 10:26:34,2023-12-01 10:26:39,"4,807s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 119.0.0.0,,,2023-12-01 10:26:39,2023-12-01 10:26:41,"1,728s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 119.0.0.0,,,2023-12-01 10:26:41,2023-12-01 10:26:41,"0,798s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 119.0.0.0,,,2023-12-01 10:26:41,2023-12-01 10:26:45,"3,602s",PASSED
delay(40),Chrome 119.0.0.0,,,2023-12-01 10:26:45,2023-12-01 10:27:25,"40,036s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-12-01 10:27:25,2023-12-01 10:27:25,"0,003s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-01 10:27:25,2023-12-01 10:28:08,"43,358s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-12-01 10:28:08,2023-12-01 10:28:08,"0,002s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-12-01 10:28:08,2023-12-01 10:28:08,"0,002s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 119.0.0.0,"Раскрыть фильтр ""Дата""",,2023-12-01 10:28:08,2023-12-01 10:28:09,"0,443s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-12-01 10:28:09,2023-12-01 10:28:09,"0,493s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-12-01 10:28:09,2023-12-01 10:28:10,"0,922s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-12-01 10:28:10,2023-12-01 10:28:40,"30,006s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-12-01 10:28:40,2023-12-01 10:28:40,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-01 10:28:40,2023-12-01 10:28:49,"9,196s",PASSED
