Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Отображение данных,Chrome 118.0.0.0,,,2023-11-01 13:23:31,2023-11-01 17:31:19,"4h - 7m - 48,104s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана отображение данных все филиалы,Chrome 118.0.0.0,,,2023-11-01 13:23:31,2023-11-01 15:12:25,"1h - 48m - 54,036s",FAILED
date = new java.util.Date(),Chrome 118.0.0.0,,,2023-11-01 13:23:32,2023-11-01 13:23:32,"0,011s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 118.0.0.0,,,2023-11-01 13:23:32,2023-11-01 13:23:32,"0,005s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 118.0.0.0,,,2023-11-01 13:23:32,2023-11-01 13:23:32,"0,002s",PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-01 13:23:32,2023-11-01 13:23:35,"2,746s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 118.0.0.0,,,2023-11-01 13:23:35,2023-11-01 13:23:38,"3,507s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 118.0.0.0,,,2023-11-01 13:23:38,2023-11-01 13:23:40,"1,747s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 118.0.0.0,,,2023-11-01 13:23:40,2023-11-01 13:23:41,"0,844s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 118.0.0.0,,,2023-11-01 13:23:41,2023-11-01 13:23:42,"1,141s",PASSED
delay(30),Chrome 118.0.0.0,,,2023-11-01 13:23:42,2023-11-01 13:24:12,"30,033s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 118.0.0.0,!,,2023-11-01 13:24:12,2023-11-01 13:24:12,"0,009s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 118.0.0.0,,,2023-11-01 13:24:12,2023-11-01 13:24:32,"19,801s",PASSED
println(opoveshenie),Chrome 118.0.0.0,,,2023-11-01 13:24:32,2023-11-01 13:24:32,"0,002s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 118.0.0.0,,,2023-11-01 13:24:32,2023-11-01 13:24:32,"0,465s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 118.0.0.0,"Раскрыть фильтр ""Дата""",,2023-11-01 13:24:32,2023-11-01 13:24:33,"0,508s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 118.0.0.0,"Нажать ""Снять выделение""",,2023-11-01 13:24:33,2023-11-01 13:24:34,"0,619s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 118.0.0.0,"Нажать ""Применить""",,2023-11-01 13:24:34,2023-11-01 13:24:35,"1,122s",PASSED
delay(10),Chrome 118.0.0.0,,,2023-11-01 13:24:35,2023-11-01 13:24:45,"10,016s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 118.0.0.0,,,2023-11-01 13:24:45,2023-11-01 13:24:45,"0,002s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 118.0.0.0,,,2023-11-01 13:24:45,2023-11-01 13:24:45,"0,442s",PASSED
println(opoveshenie),Chrome 118.0.0.0,,,2023-11-01 13:24:45,2023-11-01 13:24:45,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 118.0.0.0,,,2023-11-01 13:24:45,2023-11-01 13:24:46,"0,456s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 118.0.0.0,"Раскрыть фильтр ""Дата""",,2023-11-01 13:24:46,2023-11-01 13:24:46,"0,596s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 118.0.0.0,"Нажать ""Снять выделение""",,2023-11-01 13:24:46,2023-11-01 13:24:47,"0,614s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2023 список""), 30)",Chrome 118.0.0.0,,,2023-11-01 13:24:47,2023-11-01 13:24:47,"0,478s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2023 список""))",Chrome 118.0.0.0,Выбрать 1 квартал 2022,,2023-11-01 13:24:47,2023-11-01 13:24:48,"0,372s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""), 30)",Chrome 118.0.0.0,,,2023-11-01 13:24:48,2023-11-01 13:24:48,"0,521s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""))",Chrome 118.0.0.0,,,2023-11-01 13:24:48,2023-11-01 13:24:49,"0,476s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2 квартал 2023""))",Chrome 118.0.0.0,,,2023-11-01 13:24:49,2023-11-01 13:24:49,"0,531s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/3 квартал 2023""))",Chrome 118.0.0.0,,,2023-11-01 13:24:49,2023-11-01 13:24:50,"0,541s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 118.0.0.0,!,,2023-11-01 13:24:50,2023-11-01 13:24:50,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 118.0.0.0,,,2023-11-01 13:24:50,2023-11-01 13:24:50,"0,460s",PASSED
println(opoveshenie),Chrome 118.0.0.0,,,2023-11-01 13:24:50,2023-11-01 13:24:50,"0,001s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 118.0.0.0,,,2023-11-01 13:24:50,2023-11-01 13:24:50,"0,000s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок фильтра ДЗО""), 30)",Chrome 118.0.0.0,"Проскроллить до заголовка фильтра ""Дата""",,2023-11-01 13:24:50,2023-11-01 13:24:51,"0,448s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 118.0.0.0,"Нажать ""Применить""",,2023-11-01 13:24:51,2023-11-01 13:24:52,"0,996s",PASSED
delay(10),Chrome 118.0.0.0,,,2023-11-01 13:24:52,2023-11-01 13:25:02,"10,015s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 118.0.0.0,!,,2023-11-01 13:25:02,2023-11-01 13:25:02,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 118.0.0.0,,,2023-11-01 13:25:02,2023-11-01 13:25:18,"16,324s",PASSED
println(opoveshenie),Chrome 118.0.0.0,,,2023-11-01 13:25:18,2023-11-01 13:25:18,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 118.0.0.0,,,2023-11-01 13:25:18,2023-11-01 13:25:18,"0,455s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр ДЗО""))",Chrome 118.0.0.0,"Открыть фильтр ""ДЗО""",,2023-11-01 13:25:18,2023-11-01 13:25:19,"0,429s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре ДЗО""))",Chrome 118.0.0.0,"Нажать ""Снять выделение""",,2023-11-01 13:25:19,2023-11-01 13:25:19,"0,566s",PASSED
"DzoTest(todaysDate, typeOfData)",Chrome 118.0.0.0,,,2023-11-01 13:25:19,2023-11-01 13:25:19,"0,001s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/ПАО Россети""))",Chrome 118.0.0.0,Выбрать ПАО Россети,,2023-11-01 13:25:19,2023-11-01 13:25:20,"0,571s",PASSED
"Script1687256706913.Change(todaysDate, typeOfData)",Chrome 118.0.0.0,,,2023-11-01 13:25:20,2023-11-01 13:25:20,"0,001s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок фильтра ДЗО""), 30)",Chrome 118.0.0.0,"Проскроллить до заголовка фильтра ""ДЗО""",,2023-11-01 13:25:20,2023-11-01 13:25:20,"0,474s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре ДЗО""))",Chrome 118.0.0.0,"Нажать ""Применить""",,2023-11-01 13:25:20,2023-11-01 13:25:22,"1,076s",PASSED
"typeOfData = ""Факт""",Chrome 118.0.0.0,,,2023-11-01 13:25:22,2023-11-01 13:25:22,"0,001s",PASSED
"Script1687256706913.Test(todaysDate, typeOfData)",Chrome 118.0.0.0,,,2023-11-01 13:25:22,2023-11-01 13:25:22,"0,001s",PASSED
delay(20),Chrome 118.0.0.0,,,2023-11-01 13:25:22,2023-11-01 13:25:42,"20,010s",PASSED
"if (verifyTextNotPresent(""нет данных"", false) == true)",Chrome 118.0.0.0,,,2023-11-01 13:25:42,2023-11-01 13:25:48,"6,408s",PASSED
"typeOfData = ""План""",Chrome 118.0.0.0,,,2023-11-01 13:25:48,2023-11-01 13:25:48,"0,001s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Кнопка План""))",Chrome 118.0.0.0,,,2023-11-01 13:25:48,2023-11-01 13:25:48,"0,446s",PASSED
"Script1687256706913.Test(todaysDate, typeOfData)",Chrome 118.0.0.0,,,2023-11-01 13:25:48,2023-11-01 13:25:48,"0,001s",PASSED
delay(20),Chrome 118.0.0.0,,,2023-11-01 13:25:48,2023-11-01 13:26:08,"20,003s",PASSED
"if (verifyTextNotPresent(""нет данных"", false) == true)",Chrome 118.0.0.0,,,2023-11-01 13:26:08,2023-11-01 13:26:15,"6,414s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Кнопка Факт""))",Chrome 118.0.0.0,,,2023-11-01 13:26:15,2023-11-01 13:26:15,"0,435s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр ДЗО""))",Chrome 118.0.0.0,"Открыть фильтр ""ДЗО""",,2023-11-01 13:26:15,2023-11-01 13:26:16,"0,456s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре ДЗО""))",Chrome 118.0.0.0,"Нажать ""Снять выделение""",,2023-11-01 13:26:16,2023-11-01 13:26:16,"0,561s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Магистральные сети""))",Chrome 118.0.0.0,,,2023-11-01 13:26:16,2023-11-01 13:26:17,"0,560s",PASSED
"Script1687256706913.Change(todaysDate, typeOfData)",Chrome 118.0.0.0,,,2023-11-01 13:26:17,2023-11-01 13:26:17,"0,000s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок фильтра ДЗО""), 30)",Chrome 118.0.0.0,"Проскроллить до заголовка фильтра ""ДЗО""",,2023-11-01 13:26:17,2023-11-01 13:26:17,"0,494s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре ДЗО""))",Chrome 118.0.0.0,"Нажать ""Применить""",,2023-11-01 13:26:17,2023-11-01 13:26:18,"1,050s",PASSED
"typeOfData = ""Факт""",Chrome 118.0.0.0,,,2023-11-01 13:26:18,2023-11-01 13:26:18,"0,000s",PASSED
"Script1687256706913.Test(todaysDate, typeOfData)",Chrome 118.0.0.0,,,2023-11-01 13:26:18,2023-11-01 13:26:18,"0,000s",PASSED
delay(20),Chrome 118.0.0.0,,,2023-11-01 13:26:18,2023-11-01 13:26:38,"20,007s",PASSED
"if (verifyTextNotPresent(""нет данных"", false) == true)",Chrome 118.0.0.0,,,2023-11-01 13:26:38,2023-11-01 13:26:42,"3,174s",PASSED
"sheetName = ""Sheet1""",Chrome 118.0.0.0,,,2023-11-01 13:26:42,2023-11-01 13:26:42,"0,001s",PASSED
"data = findTestData(""PlanFact"")",Chrome 118.0.0.0,,,2023-11-01 13:26:42,2023-11-01 13:26:42,"0,055s",PASSED
n = data.getRowNumbers() + 1,Chrome 118.0.0.0,,,2023-11-01 13:26:42,2023-11-01 13:26:42,"0,000s",PASSED
"dZO = getText(findTestObject(""Выполнение бизнес-плана/Фильтр ДЗО""))",Chrome 118.0.0.0,,,2023-11-01 13:26:42,2023-11-01 13:26:42,"0,357s",PASSED
"i = dZO.indexOf("" - "")",Chrome 118.0.0.0,,,2023-11-01 13:26:42,2023-11-01 13:26:42,"0,000s",PASSED
