Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка дашбордов из разных блоков,Chrome 120.0.0.0,,,2023-12-29 08:32:41,2023-12-29 08:56:07,"23m - 26,719s",PASSED
,,,,,,,
Test Cases/Сверки дашбордов/Выполнение бизнес-плана сверка дашбордов,Chrome 120.0.0.0,,,2023-12-29 08:32:41,2023-12-29 08:38:48,"6m - 7,115s",PASSED
date = new java.util.Date(),Chrome 120.0.0.0,,,2023-12-29 08:32:42,2023-12-29 08:32:42,"0,001s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 120.0.0.0,,,2023-12-29 08:32:42,2023-12-29 08:32:42,"0,002s",PASSED
println(todaysDate),Chrome 120.0.0.0,,,2023-12-29 08:32:42,2023-12-29 08:32:42,"0,000s",PASSED
widget = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2023-12-29 08:32:42,2023-12-29 08:32:42,"0,000s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-29 08:32:42,2023-12-29 08:32:44,"2,483s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 120.0.0.0,,,2023-12-29 08:32:44,2023-12-29 08:32:48,"3,939s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 120.0.0.0,,,2023-12-29 08:32:48,2023-12-29 08:32:52,"4,429s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 120.0.0.0,,,2023-12-29 08:32:52,2023-12-29 08:32:53,"0,746s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 120.0.0.0,,,2023-12-29 08:32:53,2023-12-29 08:32:55,"1,693s",PASSED
delay(40),Chrome 120.0.0.0,,,2023-12-29 08:32:55,2023-12-29 08:33:35,"40,081s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 120.0.0.0,,,2023-12-29 08:33:35,2023-12-29 08:33:35,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 120.0.0.0,,,2023-12-29 08:33:35,2023-12-29 08:34:05,"30,157s",PASSED
println(opoveshenie),Chrome 120.0.0.0,,,2023-12-29 08:34:05,2023-12-29 08:34:05,"0,001s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 120.0.0.0,,,2023-12-29 08:34:05,2023-12-29 08:34:19,"13,418s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 120.0.0.0,"Раскрыть фильтр ""Дата""",,2023-12-29 08:34:19,2023-12-29 08:34:20,"0,993s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 120.0.0.0,"Нажать ""Снять выделение""",,2023-12-29 08:34:20,2023-12-29 08:34:20,"0,518s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 120.0.0.0,"Нажать ""Применить""",,2023-12-29 08:34:20,2023-12-29 08:34:21,"0,953s",PASSED
delay(30),Chrome 120.0.0.0,,,2023-12-29 08:34:21,2023-12-29 08:34:51,"30,016s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 120.0.0.0,,,2023-12-29 08:34:51,2023-12-29 08:34:51,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 120.0.0.0,,,2023-12-29 08:34:51,2023-12-29 08:34:54,"2,706s",PASSED
println(opoveshenie),Chrome 120.0.0.0,,,2023-12-29 08:34:54,2023-12-29 08:34:54,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 120.0.0.0,,,2023-12-29 08:34:54,2023-12-29 08:34:54,"0,413s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 120.0.0.0,"Раскрыть фильтр ""Дата""",,2023-12-29 08:34:54,2023-12-29 08:34:55,"0,390s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 120.0.0.0,"Нажать ""Снять выделение""",,2023-12-29 08:34:55,2023-12-29 08:34:55,"0,497s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2023 список""), 30)",Chrome 120.0.0.0,,,2023-12-29 08:34:55,2023-12-29 08:34:56,"0,469s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2023 список""))",Chrome 120.0.0.0,Выбрать 1 квартал 2022,,2023-12-29 08:34:56,2023-12-29 08:34:56,"0,375s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""), 30)",Chrome 120.0.0.0,,,2023-12-29 08:34:56,2023-12-29 08:34:56,"0,476s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""))",Chrome 120.0.0.0,,,2023-12-29 08:34:56,2023-12-29 08:34:57,"0,422s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2 квартал 2023""))",Chrome 120.0.0.0,,,2023-12-29 08:34:57,2023-12-29 08:34:57,"0,497s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/3 квартал 2023""))",Chrome 120.0.0.0,,,2023-12-29 08:34:57,2023-12-29 08:34:58,"0,493s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/4 квартал 2023 список""))",Chrome 120.0.0.0,,,2023-12-29 08:34:58,2023-12-29 08:34:58,"0,484s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Октябрь 2023""), 30)",Chrome 120.0.0.0,,,2023-12-29 08:34:58,2023-12-29 08:34:59,"0,458s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Октябрь 2023""))",Chrome 120.0.0.0,,,2023-12-29 08:34:59,2023-12-29 08:34:59,"0,373s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 120.0.0.0,!,,2023-12-29 08:34:59,2023-12-29 08:34:59,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 120.0.0.0,,,2023-12-29 08:34:59,2023-12-29 08:35:00,"0,456s",PASSED
println(opoveshenie),Chrome 120.0.0.0,,,2023-12-29 08:35:00,2023-12-29 08:35:00,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 120.0.0.0,,,2023-12-29 08:35:00,2023-12-29 08:35:00,"0,000s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок дашборда""), 30)",Chrome 120.0.0.0,"Проскроллить до заголовка фильтра ""Дата""",,2023-12-29 08:35:00,2023-12-29 08:35:00,"0,374s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 120.0.0.0,"Нажать ""Применить""",,2023-12-29 08:35:00,2023-12-29 08:35:01,"0,848s",PASSED
delay(30),Chrome 120.0.0.0,,,2023-12-29 08:35:01,2023-12-29 08:35:31,"30,017s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 120.0.0.0,,,2023-12-29 08:35:31,2023-12-29 08:35:31,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 120.0.0.0,,,2023-12-29 08:35:31,2023-12-29 08:35:31,"0,359s",PASSED
println(opoveshenie),Chrome 120.0.0.0,,,2023-12-29 08:35:31,2023-12-29 08:35:31,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 120.0.0.0,,,2023-12-29 08:35:31,2023-12-29 08:35:32,"0,388s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр ДЗО""))",Chrome 120.0.0.0,"Открыть фильтр ""ДЗО""",,2023-12-29 08:35:32,2023-12-29 08:35:32,"0,401s",PASSED
