Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка дашбордов из разных блоков,,,,2023-10-20 07:59:01,2023-10-20 07:59:02,"1,352s",ERROR
,,,,,,,
Test Cases/Сверки дашбордов/Выполнение бизнес-плана сверка дашбордов,,,,2023-10-20 07:59:01,2023-10-20 07:59:01,"0,288s",ERROR
,,,,,,,
Test Cases/Сверки дашбордов/Выручка в рублях сверка дашбордов все ДЗО/Выручка в рублях сверка дашбордов ПАО Россети,,,,2023-10-20 07:59:01,2023-10-20 07:59:01,"0,268s",ERROR
,,,,,,,
Test Cases/Сверки дашбордов/Выручка по ДЗО сверка дашбордов,,,,2023-10-20 07:59:01,2023-10-20 07:59:02,"0,219s",ERROR
,,,,,,,
Test Cases/Сверки дашбордов/Факторный анализ сверка дашбордов,,,,2023-10-20 07:59:02,2023-10-20 07:59:02,"0,204s",ERROR
,,,,,,,
Test Cases/Сверки дашбордов/Прогноз по отраслям сверка дашбордов,,,,2023-10-20 07:59:02,2023-10-20 07:59:02,"0,157s",ERROR
