Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка с ПБЭ,Chrome 120.0.0.0,,,2024-01-15 10:12:54,2024-01-15 10:23:45,"10m - 50,550s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана Сверка ПАО Россети все филиалы,Chrome 120.0.0.0,,,2024-01-15 10:12:55,2024-01-15 10:23:45,"10m - 50,223s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-15 10:12:55,2024-01-15 10:12:58,"2,304s",PASSED
date = new java.util.Date(),Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,017s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,003s",PASSED
dZO = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,001s",PASSED
a = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,001s",PASSED
fileperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,001s",PASSED
pageperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,001s",PASSED
pageInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,001s",PASSED
fileInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,001s",PASSED
pageDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,000s",PASSED
fileDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,001s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:12:58,"0,000s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 120.0.0.0,,,2024-01-15 10:12:58,2024-01-15 10:13:01,"3,597s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 120.0.0.0,,,2024-01-15 10:13:01,2024-01-15 10:13:03,"1,905s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 120.0.0.0,,,2024-01-15 10:13:03,2024-01-15 10:13:04,"0,741s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 120.0.0.0,,,2024-01-15 10:13:04,2024-01-15 10:13:05,"1,431s",PASSED
delay(40),Chrome 120.0.0.0,,,2024-01-15 10:13:05,2024-01-15 10:13:46,"40,036s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 120.0.0.0,,,2024-01-15 10:13:46,2024-01-15 10:13:46,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 120.0.0.0,,,2024-01-15 10:13:46,2024-01-15 10:14:10,"24,285s",PASSED
println(opoveshenie),Chrome 120.0.0.0,,,2024-01-15 10:14:10,2024-01-15 10:14:10,"0,003s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 120.0.0.0,,,2024-01-15 10:14:10,2024-01-15 10:14:11,"0,973s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 120.0.0.0,"Раскрыть фильтр ""Дата""",,2024-01-15 10:14:11,2024-01-15 10:14:11,"0,404s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 120.0.0.0,"Нажать ""Снять выделение""",,2024-01-15 10:14:11,2024-01-15 10:14:12,"0,510s",PASSED
