Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Отображение данных,Chrome 132.0.0.0,,,06-02-2025 02:40:48,06-02-2025 09:22:42,"6h - 41m - 53,125s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана отображение данных все филиалы,Chrome 132.0.0.0,,,06-02-2025 02:40:49,06-02-2025 05:56:53,"3h - 16m - 3,967s",FAILED
date = new java.util.Date(),Chrome 132.0.0.0,,,06-02-2025 02:40:50,06-02-2025 02:40:50,"0,015s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 132.0.0.0,,,06-02-2025 02:40:50,06-02-2025 02:40:50,"0,007s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 132.0.0.0,,,06-02-2025 02:40:50,06-02-2025 02:40:50,"0,003s",PASSED
"openBrowser("""")",Chrome 132.0.0.0,,,06-02-2025 02:40:50,06-02-2025 02:40:53,"3,197s",PASSED
urlText = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 132.0.0.0,,,06-02-2025 02:40:53,06-02-2025 02:40:53,"0,004s",PASSED
searchWord = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 132.0.0.0,,,06-02-2025 02:40:53,06-02-2025 02:40:53,"0,003s",PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 132.0.0.0,,,06-02-2025 02:40:53,06-02-2025 02:40:53,"0,004s",PASSED
ii = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 132.0.0.0,,,06-02-2025 02:40:53,06-02-2025 02:40:53,"0,005s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 132.0.0.0,,,06-02-2025 02:40:53,06-02-2025 02:41:02,"9,071s",PASSED
"urlText = getText(findTestObject(""Страница авторизации/Text""))",Chrome 132.0.0.0,,,06-02-2025 02:41:02,06-02-2025 02:41:03,"0,478s",PASSED
delay(10),Chrome 132.0.0.0,,,06-02-2025 02:41:03,06-02-2025 02:41:13,"10,063s",PASSED
"searchWord = ""Вход""",Chrome 132.0.0.0,,,06-02-2025 02:41:13,06-02-2025 02:41:13,"0,000s",PASSED
if (urlText.contains(searchWord) == false),Chrome 132.0.0.0,,,06-02-2025 02:41:13,06-02-2025 02:41:13,"0,018s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 132.0.0.0,,,06-02-2025 02:41:13,06-02-2025 02:41:14,"0,817s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 132.0.0.0,,,06-02-2025 02:41:14,06-02-2025 02:41:15,"0,747s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 132.0.0.0,,,06-02-2025 02:41:15,06-02-2025 02:41:16,"1,406s",PASSED
delay(60),Chrome 132.0.0.0,,,06-02-2025 02:41:16,06-02-2025 02:42:16,"1m - 0,005s",PASSED
"searchWord = ""ДЗО""",Chrome 132.0.0.0,,,06-02-2025 02:42:16,06-02-2025 02:42:16,"0,000s",PASSED
"urlText = getText(findTestObject(""Страница авторизации/Text""))",Chrome 132.0.0.0,,,06-02-2025 02:42:16,06-02-2025 02:42:48,"31,727s",PASSED
"if (urlText.contains(""ошибка"") || urlText.contains(searchWord) == false)",Chrome 132.0.0.0,,,06-02-2025 02:42:48,06-02-2025 02:42:48,"0,016s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 132.0.0.0,!,,06-02-2025 02:42:48,06-02-2025 02:42:48,"0,002s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 132.0.0.0,,,06-02-2025 02:42:48,06-02-2025 02:42:59,"10,889s",PASSED
println(opoveshenie),Chrome 132.0.0.0,,,06-02-2025 02:42:59,06-02-2025 02:42:59,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 132.0.0.0,,,06-02-2025 02:42:59,06-02-2025 02:43:00,"1,004s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 132.0.0.0,"Раскрыть фильтр ""Дата""",,06-02-2025 02:43:00,06-02-2025 02:43:00,"0,388s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 132.0.0.0,"Нажать ""Снять выделение""",,06-02-2025 02:43:00,06-02-2025 02:43:01,"0,575s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 132.0.0.0,"Нажать ""Применить""",,06-02-2025 02:43:01,06-02-2025 02:43:01,"0,811s",PASSED
delay(60),Chrome 132.0.0.0,,,06-02-2025 02:43:01,06-02-2025 02:44:01,"1m - 0,006s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 132.0.0.0,,,06-02-2025 02:44:01,06-02-2025 02:44:01,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 132.0.0.0,,,06-02-2025 02:44:01,06-02-2025 02:44:02,"0,307s",PASSED
println(opoveshenie),Chrome 132.0.0.0,,,06-02-2025 02:44:02,06-02-2025 02:44:02,"0,001s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 132.0.0.0,,,06-02-2025 02:44:02,06-02-2025 02:44:02,"0,357s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 132.0.0.0,"Раскрыть фильтр ""Дата""",,06-02-2025 02:44:02,06-02-2025 02:44:02,"0,365s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2024 список""), 30)",Chrome 132.0.0.0,,,06-02-2025 02:44:02,06-02-2025 02:44:03,"0,498s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2024 год""))",Chrome 132.0.0.0,Выбрать 1 квартал 2022,,06-02-2025 02:44:03,06-02-2025 02:44:04,"0,585s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок дашборда""), 30)",Chrome 132.0.0.0,"Проскроллить до заголовка фильтра ""Дата""",,06-02-2025 02:44:04,06-02-2025 02:44:04,"0,524s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 132.0.0.0,"Нажать ""Применить""",,06-02-2025 02:44:04,06-02-2025 02:44:05,"0,821s",PASSED
delay(60),Chrome 132.0.0.0,,,06-02-2025 02:44:05,06-02-2025 02:45:05,"1m - 0,019s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 132.0.0.0,,,06-02-2025 02:45:05,06-02-2025 02:45:05,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 132.0.0.0,,,06-02-2025 02:45:05,06-02-2025 02:45:05,"0,313s",PASSED
