Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка с ПБЭ,Chrome 133.0.0.0,,,07-03-2025 10:43:42,07-03-2025 10:48:32,"4m - 49,815s",ERROR
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана Сверка ПАО Россети все филиалы,Chrome 133.0.0.0,,,07-03-2025 10:43:43,07-03-2025 10:48:32,"4m - 49,615s",ERROR
"openBrowser("""")",Chrome 133.0.0.0,,,07-03-2025 10:43:44,07-03-2025 10:43:46,"2,042s",PASSED
date = new java.util.Date(),Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,016s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,007s",PASSED
dZO = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,003s",PASSED
a = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,004s",PASSED
fileperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,004s",PASSED
pageperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,003s",PASSED
pageInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,003s",PASSED
fileInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,006s",PASSED
pageDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,005s",PASSED
fileDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,005s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,004s",PASSED
dzoNum = 0,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,006s",PASSED
filialNum = 0,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,005s",PASSED
urlText = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,006s",PASSED
searchWord = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,004s",PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,004s",PASSED
ii = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:46,"0,004s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 133.0.0.0,,,07-03-2025 10:43:46,07-03-2025 10:43:50,"4,048s",PASSED
"urlText = getText(findTestObject(""Страница авторизации/Text""))",Chrome 133.0.0.0,,,07-03-2025 10:43:50,07-03-2025 10:43:52,"1,992s",PASSED
delay(20),Chrome 133.0.0.0,,,07-03-2025 10:43:52,07-03-2025 10:44:12,"20,054s",PASSED
"searchWord = ""Вход""",Chrome 133.0.0.0,,,07-03-2025 10:44:12,07-03-2025 10:44:12,"0,002s",PASSED
if (urlText.contains(searchWord) == false),Chrome 133.0.0.0,,,07-03-2025 10:44:12,07-03-2025 10:44:12,"0,009s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 133.0.0.0,,,07-03-2025 10:44:12,07-03-2025 10:44:13,"0,801s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 133.0.0.0,,,07-03-2025 10:44:13,07-03-2025 10:44:14,"0,713s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 133.0.0.0,,,07-03-2025 10:44:14,07-03-2025 10:44:15,"1,340s",PASSED
delay(50),Chrome 133.0.0.0,,,07-03-2025 10:44:15,07-03-2025 10:45:05,"50,019s",PASSED
"searchWord = ""ДЗО""",Chrome 133.0.0.0,,,07-03-2025 10:45:05,07-03-2025 10:45:05,"0,001s",PASSED
"urlText = getText(findTestObject(""Страница авторизации/Text""))",Chrome 133.0.0.0,,,07-03-2025 10:45:05,07-03-2025 10:45:07,"1,854s",PASSED
"if (urlText.contains(""ошибка"") || urlText.contains(searchWord) == false)",Chrome 133.0.0.0,,,07-03-2025 10:45:07,07-03-2025 10:45:07,"0,002s",PASSED
Script1718980020443.ZakrytOpoveshenie(),Chrome 133.0.0.0,,,07-03-2025 10:45:07,07-03-2025 10:45:07,"0,002s",PASSED
delay(10),Chrome 133.0.0.0,,,07-03-2025 10:45:07,07-03-2025 10:45:17,"10,008s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 133.0.0.0,,,07-03-2025 10:45:17,07-03-2025 10:45:17,"0,304s",PASSED
println(opoveshenie),Chrome 133.0.0.0,,,07-03-2025 10:45:17,07-03-2025 10:45:17,"0,004s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 133.0.0.0,,,07-03-2025 10:45:17,07-03-2025 10:45:18,"0,347s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 133.0.0.0,"Раскрыть фильтр ""Дата""",,07-03-2025 10:45:18,07-03-2025 10:45:18,"0,379s",PASSED
