Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка дашбордов из разных блоков,Chrome 120.0.0.0,,,2023-12-25 08:18:46,2023-12-25 08:40:38,"21m - 51,137s",PASSED
,,,,,,,
Test Cases/Сверки дашбордов/Выполнение бизнес-плана сверка дашбордов,Chrome 120.0.0.0,,,2023-12-25 08:18:47,2023-12-25 08:23:52,"5m - 4,820s",PASSED
date = new java.util.Date(),Chrome 120.0.0.0,,,2023-12-25 08:18:47,2023-12-25 08:18:47,"0,010s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 120.0.0.0,,,2023-12-25 08:18:47,2023-12-25 08:18:47,"0,001s",PASSED
println(todaysDate),Chrome 120.0.0.0,,,2023-12-25 08:18:47,2023-12-25 08:18:47,"0,006s",PASSED
widget = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2023-12-25 08:18:47,2023-12-25 08:18:47,"0,000s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-25 08:18:47,2023-12-25 08:18:50,"2,357s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 120.0.0.0,,,2023-12-25 08:18:50,2023-12-25 08:19:04,"14,120s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 120.0.0.0,,,2023-12-25 08:19:04,2023-12-25 08:19:06,"1,833s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 120.0.0.0,,,2023-12-25 08:19:06,2023-12-25 08:19:07,"0,821s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 120.0.0.0,,,2023-12-25 08:19:07,2023-12-25 08:19:08,"1,520s",PASSED
delay(40),Chrome 120.0.0.0,,,2023-12-25 08:19:08,2023-12-25 08:19:48,"40,034s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 120.0.0.0,,,2023-12-25 08:19:48,2023-12-25 08:19:48,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 120.0.0.0,,,2023-12-25 08:19:48,2023-12-25 08:19:53,"4,762s",PASSED
println(opoveshenie),Chrome 120.0.0.0,,,2023-12-25 08:19:53,2023-12-25 08:19:53,"0,001s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 120.0.0.0,,,2023-12-25 08:19:53,2023-12-25 08:19:53,"0,401s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 120.0.0.0,"Раскрыть фильтр ""Дата""",,2023-12-25 08:19:53,2023-12-25 08:19:54,"0,400s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 120.0.0.0,"Нажать ""Снять выделение""",,2023-12-25 08:19:54,2023-12-25 08:19:54,"0,506s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 120.0.0.0,"Нажать ""Применить""",,2023-12-25 08:19:54,2023-12-25 08:19:55,"0,933s",PASSED
delay(30),Chrome 120.0.0.0,,,2023-12-25 08:19:55,2023-12-25 08:20:25,"30,006s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 120.0.0.0,,,2023-12-25 08:20:25,2023-12-25 08:20:25,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 120.0.0.0,,,2023-12-25 08:20:25,2023-12-25 08:20:26,"0,357s",PASSED
println(opoveshenie),Chrome 120.0.0.0,,,2023-12-25 08:20:26,2023-12-25 08:20:26,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 120.0.0.0,,,2023-12-25 08:20:26,2023-12-25 08:20:26,"0,375s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 120.0.0.0,"Раскрыть фильтр ""Дата""",,2023-12-25 08:20:26,2023-12-25 08:20:26,"0,389s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 120.0.0.0,"Нажать ""Снять выделение""",,2023-12-25 08:20:26,2023-12-25 08:20:27,"0,478s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2023 список""), 30)",Chrome 120.0.0.0,,,2023-12-25 08:20:27,2023-12-25 08:20:27,"0,470s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2023 список""))",Chrome 120.0.0.0,Выбрать 1 квартал 2022,,2023-12-25 08:20:27,2023-12-25 08:20:28,"0,365s",PASSED
