Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка с ПБЭ,Chrome 119.0.0.0,,,2023-11-24 09:53:25,2023-11-24 10:00:49,"7m - 24,269s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана Сверка ПАО Россети все филиалы,Chrome 119.0.0.0,,,2023-11-24 09:53:25,2023-11-24 10:00:49,"7m - 23,922s",FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-24 09:53:26,2023-11-24 09:53:29,"2,227s",PASSED
date = new java.util.Date(),Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,012s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,006s",PASSED
dZO = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,001s",PASSED
a = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,001s",PASSED
fileperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,001s",PASSED
pageperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,001s",PASSED
pageInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,000s",PASSED
fileInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,000s",PASSED
pageDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,000s",PASSED
fileDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,000s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:29,"0,000s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 119.0.0.0,,,2023-11-24 09:53:29,2023-11-24 09:53:32,"3,743s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 119.0.0.0,,,2023-11-24 09:53:32,2023-11-24 09:53:34,"1,797s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 119.0.0.0,,,2023-11-24 09:53:34,2023-11-24 09:53:35,"0,731s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 119.0.0.0,,,2023-11-24 09:53:35,2023-11-24 09:53:36,"1,347s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-11-24 09:53:36,2023-11-24 09:54:06,"30,038s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-11-24 09:54:06,2023-11-24 09:54:06,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-11-24 09:54:06,2023-11-24 09:54:36,"30,155s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-11-24 09:54:36,2023-11-24 09:54:36,"0,001s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-11-24 09:54:36,2023-11-24 09:54:36,"0,002s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 119.0.0.0,"Раскрыть фильтр ""Дата""",,2023-11-24 09:54:36,2023-11-24 09:54:42,"5,196s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-11-24 09:54:42,2023-11-24 09:54:43,"0,945s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-11-24 09:54:43,2023-11-24 09:54:43,"0,931s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-11-24 09:54:43,2023-11-24 09:55:13,"30,016s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-11-24 09:55:13,2023-11-24 09:55:13,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-11-24 09:55:13,2023-11-24 09:55:19,"5,357s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-11-24 09:55:19,2023-11-24 09:55:19,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-11-24 09:55:19,2023-11-24 09:55:19,"0,416s",PASSED
