Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка с ПБЭ,Chrome 128.0.0.0,,,2024-08-28 10:03:39,2024-08-28 10:15:55,"12m - 16,138s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана Сверка ПАО Россети все филиалы,Chrome 128.0.0.0,,,2024-08-28 10:03:39,2024-08-28 10:15:55,"12m - 15,970s",FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,2024-08-28 10:03:40,2024-08-28 10:03:41,"1,660s",PASSED
date = new java.util.Date(),Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,005s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,002s",PASSED
dZO = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
a = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,000s",PASSED
fileperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
pageperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
pageInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
fileInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
pageDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,000s",PASSED
fileDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,000s",PASSED
dzoNum = 0,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
filialNum = 0,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
urlText = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
searchWord = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,000s",PASSED
ii = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:41,"0,001s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 128.0.0.0,,,2024-08-28 10:03:41,2024-08-28 10:03:47,"5,396s",PASSED
"urlText = getText(findTestObject(""Страница авторизации/Text""))",Chrome 128.0.0.0,,,2024-08-28 10:03:47,2024-08-28 10:03:47,"0,334s",PASSED
delay(10),Chrome 128.0.0.0,,,2024-08-28 10:03:47,2024-08-28 10:03:57,"10,029s",PASSED
"searchWord = ""Вход""",Chrome 128.0.0.0,,,2024-08-28 10:03:57,2024-08-28 10:03:57,"0,001s",PASSED
if (urlText.contains(searchWord) == false),Chrome 128.0.0.0,,,2024-08-28 10:03:57,2024-08-28 10:03:57,"0,000s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 128.0.0.0,,,2024-08-28 10:03:57,2024-08-28 10:03:58,"0,702s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 128.0.0.0,,,2024-08-28 10:03:58,2024-08-28 10:03:59,"0,653s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 128.0.0.0,,,2024-08-28 10:03:59,2024-08-28 10:04:01,"2,105s",PASSED
delay(50),Chrome 128.0.0.0,,,2024-08-28 10:04:01,2024-08-28 10:04:51,"50,015s",PASSED
"searchWord = ""ДЗО""",Chrome 128.0.0.0,,,2024-08-28 10:04:51,2024-08-28 10:04:51,"0,001s",PASSED
"urlText = getText(findTestObject(""Страница авторизации/Text""))",Chrome 128.0.0.0,,,2024-08-28 10:04:51,2024-08-28 10:05:15,"24,243s",PASSED
"if (urlText.contains(""ошибка"") || urlText.contains(searchWord) == false)",Chrome 128.0.0.0,,,2024-08-28 10:05:15,2024-08-28 10:05:15,"0,000s",PASSED
Script1718980020443.ZakrytOpoveshenie(),Chrome 128.0.0.0,,,2024-08-28 10:05:15,2024-08-28 10:05:15,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 128.0.0.0,,,2024-08-28 10:05:15,2024-08-28 10:05:15,"0,322s",PASSED
println(opoveshenie),Chrome 128.0.0.0,,,2024-08-28 10:05:15,2024-08-28 10:05:15,"0,002s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 128.0.0.0,,,2024-08-28 10:05:15,2024-08-28 10:05:16,"0,344s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 128.0.0.0,"Раскрыть фильтр ""Дата""",,2024-08-28 10:05:16,2024-08-28 10:05:16,"0,356s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 128.0.0.0,"Нажать ""Снять выделение""",,2024-08-28 10:05:16,2024-08-28 10:05:17,"0,561s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 128.0.0.0,"Нажать ""Применить""",,2024-08-28 10:05:17,2024-08-28 10:05:17,"0,790s",PASSED
delay(50),Chrome 128.0.0.0,,,2024-08-28 10:05:17,2024-08-28 10:06:07,"50,014s",PASSED
Script1718980020443.ZakrytOpoveshenie(),Chrome 128.0.0.0,,,2024-08-28 10:06:07,2024-08-28 10:06:07,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 128.0.0.0,,,2024-08-28 10:06:07,2024-08-28 10:06:08,"0,331s",PASSED
println(opoveshenie),Chrome 128.0.0.0,,,2024-08-28 10:06:08,2024-08-28 10:06:08,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 128.0.0.0,,,2024-08-28 10:06:08,2024-08-28 10:06:08,"0,342s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 128.0.0.0,"Раскрыть фильтр ""Дата""",,2024-08-28 10:06:08,2024-08-28 10:06:08,"0,345s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2024 список""), 30)",Chrome 128.0.0.0,,,2024-08-28 10:06:08,2024-08-28 10:06:09,"0,533s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2024 список""))",Chrome 128.0.0.0,Выбрать 1 квартал 2022,,2024-08-28 10:06:09,2024-08-28 10:06:09,"0,355s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/1 квартал 2024 список""), 30)",Chrome 128.0.0.0,Выбрать 1 квартал 2022,,2024-08-28 10:06:09,2024-08-28 10:06:10,"0,523s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/1 квартал 2024 список""))",Chrome 128.0.0.0,Выбрать 1 квартал 2022,,2024-08-28 10:06:10,2024-08-28 10:06:10,"0,358s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Январь 2024""))",Chrome 128.0.0.0,Выбрать 1 квартал 2022,,2024-08-28 10:06:10,2024-08-28 10:06:10,"0,327s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Февраль 2024""))",Chrome 128.0.0.0,Выбрать 1 квартал 2022,,2024-08-28 10:06:10,2024-08-28 10:06:11,"0,564s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Март 2024""))",Chrome 128.0.0.0,Выбрать 1 квартал 2022,,2024-08-28 10:06:11,2024-08-28 10:06:12,"0,467s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2 квартал 2024""), 30)",Chrome 128.0.0.0,Выбрать 1 квартал 2022,,2024-08-28 10:06:12,2024-08-28 10:06:12,"0,552s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2 квартал 2024""))",Chrome 128.0.0.0,Выбрать 1 квартал 2022,,2024-08-28 10:06:12,2024-08-28 10:06:12,"0,357s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок дашборда""), 30)",Chrome 128.0.0.0,"Проскроллить до заголовка фильтра ""Дата""",,2024-08-28 10:06:12,2024-08-28 10:06:13,"0,545s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 128.0.0.0,"Нажать ""Применить""",,2024-08-28 10:06:13,2024-08-28 10:06:14,"0,608s",PASSED
delay(50),Chrome 128.0.0.0,,,2024-08-28 10:06:14,2024-08-28 10:07:04,"50,005s",PASSED
Script1718980020443.ZakrytOpoveshenie(),Chrome 128.0.0.0,,,2024-08-28 10:07:04,2024-08-28 10:07:04,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 128.0.0.0,,,2024-08-28 10:07:04,2024-08-28 10:07:04,"0,327s",PASSED
println(opoveshenie),Chrome 128.0.0.0,,,2024-08-28 10:07:04,2024-08-28 10:07:04,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 128.0.0.0,,,2024-08-28 10:07:04,2024-08-28 10:07:04,"0,330s",PASSED
delay(30),Chrome 128.0.0.0,,,2024-08-28 10:07:04,2024-08-28 10:07:34,"30,017s",PASSED
Script1718980020443.OpenFilter(),Chrome 128.0.0.0,!,,2024-08-28 10:07:34,2024-08-28 10:07:34,"0,000s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр ДЗО""))",Chrome 128.0.0.0,,,2024-08-28 10:07:34,2024-08-28 10:07:35,"0,358s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре ДЗО""))",Chrome 128.0.0.0,,,2024-08-28 10:07:35,2024-08-28 10:07:35,"0,538s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/ПАО Россети""))",Chrome 128.0.0.0,Выбрать ПАО Россети,,2024-08-28 10:07:35,2024-08-28 10:07:36,"0,571s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре ДЗО""))",Chrome 128.0.0.0,"Нажать ""Применить""",,2024-08-28 10:07:36,2024-08-28 10:07:37,"0,825s",PASSED
delay(30),Chrome 128.0.0.0,,,2024-08-28 10:07:37,2024-08-28 10:08:07,"30,001s",PASSED
"x1 = getText(findTestObject(""Выполнение бизнес-плана/Список ДЗО старый""))",Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,338s",PASSED
"dZO = ""ПАО Россети""",Chrome 128.0.0.0,___________________________________________________________________________________________________,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,001s",PASSED
a = 84,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
"Script1718980020443.Numbers(a, typeOfData, todaysDate, pageInt, fileInt, pageDouble, fileDouble, dZO, dzoNum, filialNum)",Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
println(dzoNum),Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
planFact = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
page = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
page1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
page2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
filialNumberInRow = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
filialsDzoNames = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
numberOfFilials = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
numberOfSpaces = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
otpusk = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
poteri = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
"dataFolder = ""Выполнение бизнес-плана/Значения со страницы Выполнение бизнес-плана/""",Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
path = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
typeOfDataMain = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
fileOtpuskVSet = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,001s",PASSED
pageOtpuskVSet = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
filePoteri = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
pagePoteri = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
compare = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
b = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
ii = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
c = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,001s",PASSED
numberOfErrors = 0,Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
if (a == 82),Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
"b = findTestData(""PlanFact"").getValue(1, a)",Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,037s",PASSED
"i = b.indexOf("" (ГК)"")",Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,001s",PASSED
if (i > -1),Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
"i = b.indexOf(""О """")",Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
if (i > -1),Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,001s",PASSED
"i = b.indexOf(""О «"")",Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
if (i > -1),Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
"i = b.indexOf(""г. "")",Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
if (i > -1),Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
println(b),Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:07,"0,000s",PASSED
"for ([planFact = 1, planFact < 3, (planFact++)])",Chrome 128.0.0.0,,,2024-08-28 10:08:07,2024-08-28 10:08:08,"0,717s",PASSED
"sheetName = ""Sheet1""",Chrome 128.0.0.0,,,2024-08-28 10:08:08,2024-08-28 10:08:08,"0,000s",PASSED
"data = findTestData(""PlanFact"")",Chrome 128.0.0.0,,,2024-08-28 10:08:08,2024-08-28 10:08:08,"0,028s",PASSED
n = data.getRowNumbers() + 1,Chrome 128.0.0.0,,,2024-08-28 10:08:08,2024-08-28 10:08:08,"0,001s",PASSED
"year = todaysDate.substring(todaysDate.length() - 4, todaysDate.length())",Chrome 128.0.0.0,,,2024-08-28 10:08:08,2024-08-28 10:08:08,"0,001s",PASSED
