Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка с ПБЭ,Chrome 120.0.0.0,,,2024-01-10 08:42:07,2024-01-10 08:52:45,"10m - 38,405s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана Сверка ПАО Россети все филиалы,Chrome 120.0.0.0,,,2024-01-10 08:42:07,2024-01-10 08:52:45,"10m - 38,059s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-10 08:42:08,2024-01-10 08:42:11,"2,603s",PASSED
date = new java.util.Date(),Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,010s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,002s",PASSED
dZO = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,001s",PASSED
a = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,001s",PASSED
fileperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,000s",PASSED
pageperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,000s",PASSED
pageInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,001s",PASSED
fileInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,001s",PASSED
pageDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,000s",PASSED
fileDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,001s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:11,"0,001s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 120.0.0.0,,,2024-01-10 08:42:11,2024-01-10 08:42:15,"4,476s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 120.0.0.0,,,2024-01-10 08:42:15,2024-01-10 08:42:17,"2,080s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 120.0.0.0,,,2024-01-10 08:42:17,2024-01-10 08:42:18,"0,739s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 120.0.0.0,,,2024-01-10 08:42:18,2024-01-10 08:42:19,"1,318s",PASSED
delay(40),Chrome 120.0.0.0,,,2024-01-10 08:42:19,2024-01-10 08:42:59,"40,032s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 120.0.0.0,,,2024-01-10 08:42:59,2024-01-10 08:42:59,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 120.0.0.0,,,2024-01-10 08:42:59,2024-01-10 08:43:29,"30,161s",PASSED
println(opoveshenie),Chrome 120.0.0.0,,,2024-01-10 08:43:29,2024-01-10 08:43:29,"0,004s",PASSED
