Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка с ПБЭ,Chrome 119.0.0.0,,,2023-12-04 08:19:07,2023-12-04 08:25:08,"6m - 0,255s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана Сверка ПАО Россети все филиалы,Chrome 119.0.0.0,,,2023-12-04 08:19:08,2023-12-04 08:25:08,"5m - 59,931s",FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-04 08:19:08,2023-12-04 08:19:11,"2,224s",PASSED
date = new java.util.Date(),Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,011s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,000s",PASSED
dZO = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,000s",PASSED
a = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,000s",PASSED
fileperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,011s",PASSED
pageperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,001s",PASSED
pageInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,001s",PASSED
fileInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,000s",PASSED
pageDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,000s",PASSED
fileDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,000s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:11,"0,000s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 119.0.0.0,,,2023-12-04 08:19:11,2023-12-04 08:19:14,"3,629s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 119.0.0.0,,,2023-12-04 08:19:14,2023-12-04 08:19:17,"2,306s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 119.0.0.0,,,2023-12-04 08:19:17,2023-12-04 08:19:17,"0,724s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 119.0.0.0,,,2023-12-04 08:19:17,2023-12-04 08:19:19,"1,862s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-12-04 08:19:19,2023-12-04 08:19:49,"30,029s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-12-04 08:19:49,2023-12-04 08:19:49,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-04 08:19:49,2023-12-04 08:20:19,"30,171s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-12-04 08:20:19,2023-12-04 08:20:19,"0,003s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-12-04 08:20:19,2023-12-04 08:20:19,"0,001s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 119.0.0.0,"Раскрыть фильтр ""Дата""",,2023-12-04 08:20:19,2023-12-04 08:20:22,"2,452s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-12-04 08:20:22,2023-12-04 08:20:23,"0,609s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-12-04 08:20:23,2023-12-04 08:20:23,"0,933s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-12-04 08:20:23,2023-12-04 08:20:53,"30,003s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-12-04 08:20:53,2023-12-04 08:20:53,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-04 08:20:53,2023-12-04 08:20:59,"5,971s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-12-04 08:20:59,2023-12-04 08:20:59,"0,001s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-12-04 08:20:59,2023-12-04 08:21:00,"0,393s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 119.0.0.0,"Раскрыть фильтр ""Дата""",,2023-12-04 08:21:00,2023-12-04 08:21:00,"0,386s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-12-04 08:21:00,2023-12-04 08:21:01,"0,492s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2023 список""), 30)",Chrome 119.0.0.0,,,2023-12-04 08:21:01,2023-12-04 08:21:01,"0,453s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2023 список""))",Chrome 119.0.0.0,Выбрать 1 квартал 2022,,2023-12-04 08:21:01,2023-12-04 08:21:02,"0,362s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""), 30)",Chrome 119.0.0.0,,,2023-12-04 08:21:02,2023-12-04 08:21:02,"0,474s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""))",Chrome 119.0.0.0,,,2023-12-04 08:21:02,2023-12-04 08:21:02,"0,364s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2 квартал 2023""))",Chrome 119.0.0.0,,,2023-12-04 08:21:02,2023-12-04 08:21:03,"0,496s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/3 квартал 2023""))",Chrome 119.0.0.0,,,2023-12-04 08:21:03,2023-12-04 08:21:03,"0,497s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 119.0.0.0,!,,2023-12-04 08:21:03,2023-12-04 08:21:03,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-04 08:21:03,2023-12-04 08:21:04,"0,448s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-12-04 08:21:04,2023-12-04 08:21:04,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-12-04 08:21:04,2023-12-04 08:21:04,"0,000s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок дашборда""), 30)",Chrome 119.0.0.0,"Проскроллить до заголовка фильтра ""Дата""",,2023-12-04 08:21:04,2023-12-04 08:21:04,"0,365s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-12-04 08:21:04,2023-12-04 08:21:05,"0,832s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-12-04 08:21:05,2023-12-04 08:21:35,"30,012s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-12-04 08:21:35,2023-12-04 08:21:35,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-04 08:21:35,2023-12-04 08:21:35,"0,349s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-12-04 08:21:35,2023-12-04 08:21:35,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-12-04 08:21:35,2023-12-04 08:21:35,"0,001s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-12-04 08:21:35,2023-12-04 08:22:05,"30,004s",PASSED
Script1697465685113.OpenFilter(),Chrome 119.0.0.0,!,,2023-12-04 08:22:05,2023-12-04 08:22:05,"0,000s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр ДЗО""))",Chrome 119.0.0.0,,,2023-12-04 08:22:05,2023-12-04 08:22:06,"0,392s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре ДЗО""))",Chrome 119.0.0.0,,,2023-12-04 08:22:06,2023-12-04 08:22:06,"0,520s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/ПАО Россети""))",Chrome 119.0.0.0,Выбрать ПАО Россети,,2023-12-04 08:22:06,2023-12-04 08:22:07,"0,481s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре ДЗО""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-12-04 08:22:07,2023-12-04 08:22:08,"1,033s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-12-04 08:22:08,2023-12-04 08:22:38,"30,007s",PASSED
"dZO = ""ПАО Россети""",Chrome 119.0.0.0,___________________________________________________________________________________________________,,2023-12-04 08:22:38,2023-12-04 08:22:38,"0,001s",PASSED
a = 84,Chrome 119.0.0.0,,,2023-12-04 08:22:38,2023-12-04 08:22:38,"0,000s",PASSED
"Script1697465685113.Numbers(a, typeOfData, todaysDate, pageInt, fileInt, pageDouble, fileDouble, dZO)",Chrome 119.0.0.0,,,2023-12-04 08:22:38,2023-12-04 08:22:38,"0,001s",PASSED
planFact = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:22:38,2023-12-04 08:22:38,"0,000s",PASSED
page = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:22:38,2023-12-04 08:22:38,"0,000s",PASSED
page1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:22:38,2023-12-04 08:22:38,"0,000s",PASSED
page2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:22:38,2023-12-04 08:22:38,"0,000s",PASSED
filialNumberInRow = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 08:22:38,2023-12-04 08:22:38,"0,002s",PASSED
