Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка дашбордов из разных блоков,Chrome 119.0.0.0,,,2023-11-29 13:18:33,2023-11-29 13:44:10,"25m - 36,939s",PASSED
,,,,,,,
Test Cases/Сверки дашбордов/Выполнение бизнес-плана сверка дашбордов,Chrome 119.0.0.0,,,2023-11-29 13:18:33,2023-11-29 13:25:36,"7m - 2,987s",PASSED
date = new java.util.Date(),Chrome 119.0.0.0,,,2023-11-29 13:18:34,2023-11-29 13:18:34,"0,010s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 119.0.0.0,,,2023-11-29 13:18:34,2023-11-29 13:18:34,"0,003s",PASSED
println(todaysDate),Chrome 119.0.0.0,,,2023-11-29 13:18:34,2023-11-29 13:18:34,"0,001s",PASSED
widget = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 13:18:34,2023-11-29 13:18:34,"0,000s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 13:18:34,2023-11-29 13:18:36,"2,290s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 119.0.0.0,,,2023-11-29 13:18:36,2023-11-29 13:18:57,"20,531s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 119.0.0.0,,,2023-11-29 13:18:57,2023-11-29 13:18:59,"1,909s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 119.0.0.0,,,2023-11-29 13:18:59,2023-11-29 13:18:59,"0,800s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 119.0.0.0,,,2023-11-29 13:18:59,2023-11-29 13:19:01,"1,350s",PASSED
delay(40),Chrome 119.0.0.0,,,2023-11-29 13:19:01,2023-11-29 13:19:41,"40,031s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-11-29 13:19:41,2023-11-29 13:19:41,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-11-29 13:19:41,2023-11-29 13:20:11,"30,204s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-11-29 13:20:11,2023-11-29 13:20:11,"0,002s",PASSED
