Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка с ПБЭ,Chrome 119.0.0.0,,,2023-11-29 14:06:35,2023-11-29 14:13:41,"7m - 6,641s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана Сверка ПАО Россети все филиалы,Chrome 119.0.0.0,,,2023-11-29 14:06:35,2023-11-29 14:13:41,"7m - 6,307s",FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 14:06:36,2023-11-29 14:06:38,"2,272s",PASSED
date = new java.util.Date(),Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,007s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,000s",PASSED
dZO = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,000s",PASSED
a = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,005s",PASSED
fileperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,001s",PASSED
pageperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,001s",PASSED
pageInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,000s",PASSED
fileInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,003s",PASSED
pageDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,001s",PASSED
fileDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,001s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:38,"0,000s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 119.0.0.0,,,2023-11-29 14:06:38,2023-11-29 14:06:42,"3,577s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 119.0.0.0,,,2023-11-29 14:06:42,2023-11-29 14:06:44,"1,911s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 119.0.0.0,,,2023-11-29 14:06:44,2023-11-29 14:06:44,"0,738s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 119.0.0.0,,,2023-11-29 14:06:44,2023-11-29 14:06:46,"1,826s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-11-29 14:06:46,2023-11-29 14:07:16,"30,033s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-11-29 14:07:16,2023-11-29 14:07:16,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-11-29 14:07:16,2023-11-29 14:07:46,"30,165s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-11-29 14:07:46,2023-11-29 14:07:46,"0,002s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-11-29 14:07:46,2023-11-29 14:08:17,"30,152s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 119.0.0.0,"Раскрыть фильтр ""Дата""",,2023-11-29 14:08:17,2023-11-29 14:08:20,"3,674s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-11-29 14:08:20,2023-11-29 14:08:21,"0,967s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-11-29 14:08:21,2023-11-29 14:08:22,"0,923s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-11-29 14:08:22,2023-11-29 14:08:52,"30,016s",PASSED
Script1697465685113.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-11-29 14:08:52,2023-11-29 14:08:52,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-11-29 14:08:52,2023-11-29 14:08:56,"3,445s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-11-29 14:08:56,2023-11-29 14:08:56,"0,001s",PASSED
